question,ground_truth,contexts,evolution_type
What is an evaluation gate in CI/CD?,A CI/CD eval gate blocks merges when quality metrics fall below thresholds.,"[""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds."", ""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What should blueprint SLOs include?,"Blueprint SLOs include targets, alert thresholds, severity, and playbooks.","[""Blueprint SLOs define targets, alert thresholds, severity, playbooks, and ownership for production evaluation systems.""]",simple
Name one input guardrail.,PII redaction is an input guardrail.,"[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",simple
Name one output guardrail.,A safety classifier is an output guardrail.,"[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",simple
What is prompt injection detection?,Prompt injection detection blocks attempts to override instructions or reveal hidden prompts.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What should be excluded from audit logs?,Raw PII should be excluded from audit logs.,"[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging.""]",simple
What metric target is used for faithfulness?,Faithfulness target is at least 0.85 with a minimum acceptable value of 0.75.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What metric target is used for answer relevancy?,Answer relevancy target is at least 0.80 with a minimum acceptable value of 0.70.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What metric target is used for context precision?,Context precision target is at least 0.70 with a minimum acceptable value of 0.60.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",simple
What metric target is used for context recall?,Context recall target is at least 0.75 with a minimum acceptable value of 0.65.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
Why redact PII before model calls?,PII should be redacted before model calls to reduce privacy risk.,"[""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",simple
Why run adversarial tests?,Adversarial tests verify that jailbreaks and prompt injection attempts are blocked.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
Why report P95 latency?,P95 latency captures slow user experiences better than the average.,"[""Latency benchmarks should report P50, P95, and P99 by layer so guardrail overhead and RAG latency are visible.""]",simple
What is a refusal response?,A refusal response safely declines unsafe requests while offering a compliant alternative.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What is retrieval metadata filtering?,"Metadata filtering restricts retrieval to relevant topics, sources, or document types.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What is a reranker?,A reranker reorders retrieved chunks to put the strongest evidence first.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
"If faithfulness is high but context recall is low, what likely happened?","The answer may be grounded in retrieved chunks, but retrieval missed some required evidence.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
Why combine pairwise judging with human calibration?,"Pairwise judging provides scalable labels, while human calibration measures reliability and bias.","[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",reasoning
How can a CI/CD gate prevent RAG regressions?,It runs evaluation on pull requests and fails when metrics fall below minimum thresholds.,"[""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds."", ""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
Why might increasing top_k improve recall but hurt precision?,More chunks can include missing evidence but also add irrelevant context.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",reasoning
How do PII redaction and audit logging work together?,Redaction removes sensitive data before logs store sanitized inputs and decisions.,"[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",reasoning
Why should an output guard run after the RAG answer is generated?,It can catch unsafe or private content that appears in the final response.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
When should a reranker be added to retrieval?,A reranker is useful when initial retrieval returns relevant chunks but not at the top.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
Why can length bias affect LLM judges?,Judges may prefer longer answers even when concise answers are more accurate.,"[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",reasoning
How does swap-and-average reduce position bias?,It judges both answer orders and resolves inconsistent wins as ties or calibrated choices.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",reasoning
Why measure latency by guardrail layer?,"Layer timing identifies whether input guard, RAG, or output guard causes overhead.","[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""Latency benchmarks should report P50, P95, and P99 by layer so guardrail overhead and RAG latency are visible.""]",reasoning
How should a low precision cluster be fixed?,"Use metadata filters, hybrid retrieval, or reranking to remove off-topic chunks.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",reasoning
Why is deterministic fallback useful in this lab?,It makes scripts reproducible when API keys or external services are unavailable.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
Why should topic validation occur before RAG?,It prevents out-of-scope requests from consuming retrieval and generation resources.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",reasoning
How do RAGAS metrics and CI/CD gates work together?,"RAGAS metrics quantify quality, and CI/CD gates fail builds below thresholds.","[""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds."", ""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",multi_context
"How should a blueprint connect SLOs, alerts, and evaluation results?","Blueprints define SLO targets, alert thresholds, and playbooks informed by evaluation results.","[""Blueprint SLOs define targets, alert thresholds, severity, playbooks, and ownership for production evaluation systems."", ""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",multi_context
"How do input guards, output guards, and audit logs reduce risk?","Input guards block or sanitize requests, output guards check answers, and audit logs record sanitized decisions.","[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging.""]",multi_context
How do LLM judge calibration and Cohen's Kappa support trust?,"Calibration compares judge decisions with human labels, and Kappa quantifies agreement.","[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",multi_context
How can latency benchmarks include both guardrails and RAG?,"Benchmarks record L1, L2, L3, and total timings across many requests.","[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""Latency benchmarks should report P50, P95, and P99 by layer so guardrail overhead and RAG latency are visible.""]",multi_context
How do PII detection and prompt injection detection differ?,"PII detection redacts sensitive data, while injection detection blocks instruction override attacks.","[""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",multi_context
How can hybrid search and reranking improve failure clusters?,"Hybrid search improves candidate recall, and reranking improves ordering and precision.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",multi_context
How should cost analysis account for RAGAS and judge usage?,"Cost analysis estimates generation, sampled RAGAS eval, judge comparisons, guardrails, and storage.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",multi_context
How does output safety relate to unsafe medical or financial certainty?,Output guards should flag high-stakes certainty and require safer qualified responses.,"[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",multi_context
How can manual review improve generated testsets?,"Manual review removes ambiguous questions and ensures distribution across simple, reasoning, and multi-context cases.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",multi_context
How do blueprint SLOs guide incident playbooks?,"SLO breaches trigger severity, investigation, resolution, and impact tracking steps.","[""Blueprint SLOs define targets, alert thresholds, severity, playbooks, and ownership for production evaluation systems."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",multi_context
How should retrieved contexts be logged safely?,"Only sanitized inputs, metadata, timings, and decisions should be logged; raw PII should not be stored.","[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",multi_context
How do guardrail detection rate and false positive rate balance?,"Detection rate measures caught attacks, while false positive rate measures valid requests incorrectly blocked.","[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging.""]",multi_context
