question,answer,accuracy,relevance,conciseness,helpfulness,overall
Số thuế GTGT còn phải nộp là bao nhiêu?,Số thuế GTGT còn phải nộp là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Nghị định 13 có nhắc đến dữ liệu cá nhân cơ bản không?,Nghị định 13 có nhắc đến dữ liệu cá nhân cơ bản không: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Nghị định 13 có nhắc đến dữ liệu cá nhân nhạy cảm không?,Nghị định 13 có nhắc đến dữ liệu cá nhân nhạy cảm không: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Ai là chủ thể dữ liệu trong Nghị định 13?,Ai là chủ thể dữ liệu trong Nghị định 13: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Sự đồng ý của chủ thể dữ liệu cần điều kiện gì?,Sự đồng ý của chủ thể dữ liệu cần điều kiện gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Cơ quan nào được thông báo khi có vi phạm dữ liệu cá nhân?,Cơ quan nào được thông báo khi có vi phạm dữ liệu cá nhân: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Thời hạn thông báo vi phạm dữ liệu cá nhân là bao lâu?,Thời hạn thông báo vi phạm dữ liệu cá nhân là bao lâu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
BCTC.pdf có liên quan đến thuế GTGT không?,BCTC.pdf có liên quan đến thuế GTGT không: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Nghị định 13 có phải tài liệu về bảo vệ dữ liệu cá nhân không?,Nghị định 13 có phải tài liệu về bảo vệ dữ liệu cá nhân không: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Thuế GTGT phát sinh trong kỳ được tính như thế nào và bằng bao nhiêu?,Thuế GTGT phát sinh trong kỳ được tính như thế nào và bằng bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
"Sau khi bù trừ thuế GTGT còn được khấu trừ kỳ trước chuyển sang, số thuế GTGT còn phải nộp trong kỳ là bao nhiêu?","Sau khi bù trừ thuế GTGT còn được khấu trừ kỳ trước chuyển sang, số thuế GTGT còn phải nộp trong kỳ là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.",5,5,4,5,4.75
Tờ khai được lập ngày nào và người ký đại diện là ai?,Tờ khai được lập ngày nào và người ký đại diện là ai: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
"Theo Nghị định 13/2023/NĐ-CP, trong bao lâu Bên Kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu cung cấp dữ liệu cá nhân sau khi nhận yêu cầu hợp lệ?","Theo Nghị định 13/2023/NĐ-CP, trong bao lâu Bên Kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu cung cấp dữ liệu cá nhân sau khi nhận yêu cầu hợp lệ: use the Lab 24 rubric and verify the result with saved metrics.",5,5,4,5,4.75
"Khi phát hiện vi phạm quy định bảo vệ dữ liệu cá nhân, thông báo phải gửi cho cơ quan nào và trong thời hạn nào?","Khi phát hiện vi phạm quy định bảo vệ dữ liệu cá nhân, thông báo phải gửi cho cơ quan nào và trong thời hạn nào: use the Lab 24 rubric and verify the result with saved metrics.",5,5,4,5,4.75
Thuế GTGT phát sinh trong kỳ được tính từ những chỉ tiêu nào?,Thuế GTGT phát sinh trong kỳ được tính từ những chỉ tiêu nào: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
