question_id,question,answer_a,answer_b,ground_truth,judge_count,final_winner,agreement_rate,accuracy_first_winner,accuracy_first_score_a,accuracy_first_score_b,concise_first_winner,concise_first_score_a,concise_first_score_b,completeness_first_winner,completeness_first_score_a,completeness_first_score_b
15,Thuế GTGT đầu ra trong kỳ là bao nhiêu?,Thuế GTGT đầu ra trong kỳ là 344.675.400 đồng.,"Thuế GTGT đầu ra trong kỳ là 344.675.400 đồng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Thuế GTGT đầu ra trong kỳ là 344.675.400 đồng.,3,tie,1.0,tie,0.938,0.938,tie,0.938,0.938,tie,0.95,0.95
16,Thuế GTGT đầu vào được khấu trừ là bao nhiêu?,Thuế GTGT đầu vào được khấu trừ là 215.163.767 đồng.,"The document appears to discuss the topic, but the exact answer is not clearly available.",Thuế GTGT đầu vào được khấu trừ là 215.163.767 đồng.,3,A,1.0,A,0.955,0.05,A,0.955,0.3,A,0.964,0.1
17,Số thuế GTGT còn phải nộp là bao nhiêu?,Số thuế GTGT còn phải nộp là 52.133.830 đồng.,"Số thuế GTGT còn phải nộp là 52.133.830 đồng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Số thuế GTGT còn phải nộp là 52.133.830 đồng.,3,tie,1.0,tie,0.944,0.944,tie,0.944,0.944,tie,0.956,0.956
18,Nghị định 13 có nhắc đến dữ liệu cá nhân cơ bản không?,"Có, Nghị định 13 liệt kê nhóm dữ liệu cá nhân cơ bản.","Có, Nghị định 13 liệt kê nhóm dữ liệu cá nhân cơ bản. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Có, Nghị định 13 liệt kê nhóm dữ liệu cá nhân cơ bản.",3,tie,1.0,tie,0.925,0.925,tie,0.925,0.925,tie,0.94,0.94
19,Nghị định 13 có nhắc đến dữ liệu cá nhân nhạy cảm không?,"Có, Nghị định 13 có quy định về dữ liệu cá nhân nhạy cảm.","Có, Nghị định 13 có quy định về dữ liệu cá nhân nhạy cảm. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Có, Nghị định 13 có quy định về dữ liệu cá nhân nhạy cảm.",3,tie,1.0,tie,0.925,0.925,tie,0.925,0.925,tie,0.94,0.94
20,Ai là chủ thể dữ liệu trong Nghị định 13?,Chủ thể dữ liệu là cá nhân được dữ liệu cá nhân phản ánh.,"Chủ thể dữ liệu là cá nhân được dữ liệu cá nhân phản ánh. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Chủ thể dữ liệu là cá nhân được dữ liệu cá nhân phản ánh.,3,tie,1.0,tie,0.925,0.925,tie,0.925,0.925,tie,0.94,0.94
21,Sự đồng ý của chủ thể dữ liệu cần điều kiện gì?,Sự đồng ý cần tự nguyện và chủ thể dữ liệu biết rõ nội dung đồng ý.,"Sự đồng ý cần tự nguyện và chủ thể dữ liệu biết rõ nội dung đồng ý. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Sự đồng ý cần tự nguyện và chủ thể dữ liệu biết rõ nội dung đồng ý.,3,tie,1.0,tie,0.938,0.938,tie,0.938,0.938,tie,0.95,0.95
22,Cơ quan nào được thông báo khi có vi phạm dữ liệu cá nhân?,"Thông báo được gửi cho Bộ Công an, cụ thể là cơ quan chuyên trách an ninh mạng.","Thông báo được gửi cho Bộ Công an, cụ thể là cơ quan chuyên trách an ninh mạng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Thông báo được gửi cho Bộ Công an, cụ thể là cơ quan chuyên trách an ninh mạng.",3,tie,1.0,tie,0.926,0.926,tie,0.926,0.926,tie,0.941,0.941
23,Thời hạn thông báo vi phạm dữ liệu cá nhân là bao lâu?,Thời hạn thông báo vi phạm là chậm nhất 72 giờ sau khi xảy ra vi phạm.,"Thời hạn thông báo vi phạm là chậm nhất 72 giờ sau khi xảy ra vi phạm. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Thời hạn thông báo vi phạm là chậm nhất 72 giờ sau khi xảy ra vi phạm.,3,tie,1.0,tie,0.933,0.933,tie,0.933,0.933,tie,0.947,0.947
24,BCTC.pdf có liên quan đến thuế GTGT không?,"Có, BCTC.pdf chứa tờ khai thuế GTGT và các chỉ tiêu thuế GTGT.","Có, BCTC.pdf chứa tờ khai thuế GTGT và các chỉ tiêu thuế GTGT. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Có, BCTC.pdf chứa tờ khai thuế GTGT và các chỉ tiêu thuế GTGT.",3,tie,1.0,tie,0.917,0.917,tie,0.917,0.917,tie,0.933,0.933
25,Nghị định 13 có phải tài liệu về bảo vệ dữ liệu cá nhân không?,"Có, đây là nghị định về bảo vệ dữ liệu cá nhân.","Có, đây là nghị định về bảo vệ dữ liệu cá nhân. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Có, đây là nghị định về bảo vệ dữ liệu cá nhân.",3,tie,1.0,tie,0.917,0.917,tie,0.917,0.917,tie,0.933,0.933
26,Thuế GTGT phát sinh trong kỳ được tính như thế nào và bằng bao nhiêu?,Thuế GTGT phát sinh trong kỳ bằng thuế GTGT đầu ra [35] trừ thuế GTGT đầu vào được khấu trừ [25]: 344.675.400 - 215.163.767 = 129.511.633 đồng.,"Thuế GTGT phát sinh trong kỳ bằng thuế GTGT đầu ra [35] trừ thuế GTGT đầu vào được khấu trừ [25]: 344.675.400 - 215.163.767 = 129.511.633 đồng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Thuế GTGT phát sinh trong kỳ bằng thuế GTGT đầu ra [35] trừ thuế GTGT đầu vào được khấu trừ [25]: 344.675.400 - 215.163.767 = 129.511.633 đồng.,3,tie,1.0,tie,0.929,0.929,tie,0.929,0.929,tie,0.943,0.943
27,"Sau khi bù trừ thuế GTGT còn được khấu trừ kỳ trước chuyển sang, số thuế GTGT còn phải nộp trong kỳ là bao nhiêu?","52.133.830 đồng, theo chỉ tiêu [40]; số này bằng 129.511.633 - 77.377.803.","52.133.830 đồng, theo chỉ tiêu [40]; số này bằng 129.511.633 - 77.377.803. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","52.133.830 đồng, theo chỉ tiêu [40]; số này bằng 129.511.633 - 77.377.803.",3,tie,1.0,tie,0.84,0.84,tie,0.84,0.84,tie,0.872,0.872
28,Tờ khai được lập ngày nào và người ký đại diện là ai?,Tờ khai được lập ngày 24 tháng 01 năm 2025; người ký/đại diện là TRỊNH THỊ SANG.,"Tờ khai được lập ngày 24 tháng 01 năm 2025; người ký/đại diện là TRỊNH THỊ SANG. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Tờ khai được lập ngày 24 tháng 01 năm 2025; người ký/đại diện là TRỊNH THỊ SANG.,3,tie,1.0,tie,0.967,0.967,tie,0.967,0.967,tie,0.973,0.973
29,"Theo Nghị định 13/2023/NĐ-CP, trong bao lâu Bên Kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu cung cấp dữ liệu cá nhân sau khi nhận yêu cầu hợp lệ?","Trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, trừ trường hợp pháp luật có quy định khác.","The document appears to discuss the topic, but the exact answer is not clearly available.","Trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, trừ trường hợp pháp luật có quy định khác.",3,A,1.0,A,0.886,0.05,A,0.886,0.3,A,0.909,0.1
